"store_id","store_name","account_type","banner_id","banner_name","account_id","account_name","street","postalcode","province","region","city","location_type","latitude","longitude"
521,Groove Cannabis Co. Inc.,Independent,826,Groove Cannabis Co. Inc.,1578,Groove Cannabis Co. Inc.,"1380 Second Street East",K6H 2B8,Ontario,East,Cornwall,Urban,45.02746,-74.70224
4125,Groovy's Baysville,Independent,908,Groovy'S,178,Groovy'S,"14 Bridge St",P0B 1A0,Ontario,North,Baysville,Rural,45.148376,-79.1156
5316,Groovy's Dorset,Independent,908,Groovy'S,178,Groovy'S,"1059 Main Street Unit 1",P0A1E0,Ontario,North,Dorset,Rural,45.246357,-78.893524
522,Groovy's - Wasaga Beach,Independent,908,Groovy'S,178,Groovy'S,"676 River Rd E",L9Z 2M3,Ontario,GTA,Wasaga Beach,Urban,44.54206,-80.00006
1338,Growers Retail - Brimley,Multi-Unit,430,Growers Retail,1538,Growers Retail,"821 Brimley Road",M1J 1C9,Ontario,Toronto,Scarborough,Urban,43.75323,-79.25469
1696,Growers Retail - Etobicoke The Queensway,Multi-Unit,430,Growers Retail,1538,Growers Retail,"970 The Queensway",M8Z 1P6,Ontario,Toronto,Etobicoke,Urban,43.62408,-79.51398
2116,Growers Retail - Lawrence,Multi-Unit,430,Growers Retail,1538,Growers Retail,"2002 Lawrence Ave E",M1R 2Z1,Ontario,Toronto,Scarborough,Urban,43.74518,-79.29691
2115,Growers Retail - Peterborough - George St,Multi-Unit,430,Growers Retail,1538,Growers Retail,"225 George Street North",K9J 3G7,Ontario,East,Peterborough,Urban,44.30033,-78.32008
2117,Growers Retail - Toronto Bloor,Multi-Unit,430,Growers Retail,1538,Growers Retail,"1239 Bloor Street W",M6H 1N6,Ontario,Toronto,Toronto,Urban,43.65856,-79.44101
3344,Growers Retail - Toronto Danforth,Multi-Unit,430,Growers Retail,1538,Growers Retail,"2620 Danforth Ave",M4C1L7,Ontario,Toronto,Toronto,Urban,43.688698,-79.30052
2273,Growers Retail - Toronto Pape,Multi-Unit,430,Growers Retail,1538,Growers Retail,"1021 Pape Avenue",M4K 3V8,Ontario,Toronto,East York,Urban,43.68837,-79.34818
2118,Growers Retail - Toronto Parliament St.,Multi-Unit,430,Growers Retail,1538,Growers Retail,"492 Parliament Str",M4X 1P2,Ontario,Toronto,Toronto,Urban,43.6649,-79.36848
3656,Growers Retail - Waterloo,Multi-Unit,430,Growers Retail,1538,Growers Retail,"50 Westmount Rd N",N2L2R5,Ontario,West,Waterloo,Urban,43.46115,-80.53694
523,Haight Ashbury - Wallaceburg,Independent,910,Haight Ashbury,1139,Haight Ashbury,"302 James St",N8A 2N5,Ontario,West,Wallaceburg,Urban,42.59468,-82.38304
524,Hamilton Cannabis Co.,Independent,828,Hamilton Cannabis Co.,363,Hamilton Cannabis Co.,"525 Mohawk Road East",L8V 2J5,Ontario,GTA,Hamilton,Urban,43.2215,-79.8515
525,Happy Hippy Cannabis Store - Cattell Dr,Independent,766,Happy Hippy Cannabis Store,713,Happy Hippy Cannabis Store,"3464 Cattell Drive",L2G 7K7,Ontario,GTA,Niagara Falls,Urban,43.05417,-79.04582
3192,Happy Leaf Cannabis,Independent,1346,Happy Leaf Cannabis ,921,Happy Leaf Cannabis ,"308 Lester St Unit 112",N2L0H9,Ontario,West,Waterloo,Urban,43.47621,-80.53614
3757,Happy Life - Chelmsford,Multi-Unit,914,Happy Life,1331,Happy Life,"3702 On-144",P0M 1L0,Ontario,North,Chelmsford,Rural,46.569298,-81.188545
3758,Happy Life - Espanola,Multi-Unit,914,Happy Life,1331,Happy Life,"387 Centre St",P5E 1E4,Ontario,North,Espanola,Urban,46.257484,-81.764725
3599,Happy Life - North Bay Algonquin,Multi-Unit,914,Happy Life,1331,Happy Life,"1307 Algonquin Ave Suite 1",P1B4Y4,Ontario,North,North Bay,Urban,46.3276,-79.466545
3768,Happy Life - North Bay Lakeshore,Multi-Unit,914,Happy Life,1331,Happy Life,"42 Lakeshore Dr",P1A 2A3,Ontario,North,North Bay,Urban,46.294754,-79.454185
5421,Happy Life - Sault Ste Marie,Multi-Unit,914,Happy Life,1331,Happy Life,"41 Great Northern Road 2",P6B 4Y7,Ontario,North,Sault Ste. Marie,Urban,46.52481,-84.31995
526,Happy Life - Sudbury,Multi-Unit,914,Happy Life,1331,Happy Life,"1021 Kingsway",P3B 2E6,Ontario,North,Sudbury,Urban,46.50049,-80.96267
3322,Happy Life - Thunder Bay,Multi-Unit,914,Happy Life,1331,Happy Life,"1170 Memorial Ave",P7B5K5,Ontario,North,Thunder Bay,Urban,48.401585,-89.2461
5242,Happy Life - Timmins,Multi-Unit,914,Happy Life,1331,Happy Life,"2125 Riverside Drive",P4R 0A1,Ontario,North,Timmins,Urban,48.471905,-81.4011
3071,Happy Life - Val Caron,Multi-Unit,914,Happy Life,1331,Happy Life,"3045 Old Hwy 69 N Unit 2",P3N1R8,Ontario,North,Val Caron,Urban,46.610455,-81.007385
4992,Harbourfront Cannabis,Independent,1050,Thisel,1101,Thisel,"10 Yonge St",M5E 1R4,Ontario,Toronto,Old Toronto,Urban,43.64233,-79.37523
3584,Harvest Bud Cannabis,Independent,1469,Harvest Bud Cannabis,1179,Harvest Bud Cannabis,"2155 Wyandotte St W Suite B",N9B1K1,Ontario,West,Windsor,Urban,42.305763,-83.06047
3547,Harvest Cannabis Co - Caledonia,Independent,830,Harvest Cannabis Co.,228,Harvest Cannabis Co.,"172 Argyle St N Unit 1",N3W2J7,Ontario,West,Caledonia,Urban,43.077095,-79.949646
3579,Harvest Cannabis Co - Kitchener,Independent,830,Harvest Cannabis Co.,228,Harvest Cannabis Co.,"376 Victoria St N Unit 5a",N2H5E6,Ontario,West,Kitchener,Urban,43.459267,-80.48157
4840,Havok Smoke Cannabis & Accessories,Independent,2112,Havok Smoke Cannabis & Accessories,1228,Havok Smoke Cannabis & Accessories,"650 Sheppard Ave W",M3H 2S5,Ontario,Toronto,North York,Urban,43.755215,-79.44178
4873,HAVOK SMOKE CANNABIS & ACCESSORIES,Independent,2112,Havok Smoke Cannabis & Accessories,1228,Havok Smoke Cannabis & Accessories,"38 Wellington St E Unit #1",L4G 1H5,Ontario,GTA,Aurora,Urban,44.000282,-79.46555
3242,Haze Buds Cannabis,Independent,1269,Haze Buds Cannabis,702,Haze Buds Cannabis,"2100 Metro Rd N Unit 5",L0E1L0,Ontario,GTA,Jacksons Point,Rural,44.32151,-79.3709
